Algorithm,Mean Acc.,Mean Binary Acc.,Mean B-thread Binary Acc.
AGF4,0.276,0.557,0.46
AGF5,0.283,0.555,0.462
AGF6,0.289,0.554,0.463
APF,0.286,0.546,0.456
VA,0.417,0.592,0.538
